No;City;Total;Died;Lost ;Injured;Suffering;Evacuate;House;School;Medical_Facility;Religious_Place;Public_Facility;Office;Bridge;Factory;Store;Year;Type;Disaster
11; Aceh Utara;6;;;;8421;2327;17;;;;;;;;;2020;101;Flood
12; Aceh Barat Daya;1;;;;;;;;;;;;;;;2020;101;Flood
13; Gayo Lues;3;;;;192;;12;1;;1;;;;;;2020;101;Flood
14; Aceh Tamiang;3;;;;16224;3328;;;;;;;;;;2020;101;Flood
15; Nagan Raya;1;;;;8499;;;;;;;;1;;;2020;101;Flood
16; Aceh Jaya;5;;;;4487;3039;;;;;;;;;;2020;101;Flood
17; Bener Meriah;2;;;;5;;2;;;;;;2;;;2020;101;Flood
18; Pidie Jaya;4;;;;10003;10;2;3;;5;;;1;;;2020;101;Flood
71; Kota Banda Aceh;1;;;;186;;;;;;;;;;;2020;101;Flood
73; Kota Langsa;1;;;;6610;;;;;;;;;;;2020;101;Flood
74; Kota Lhokseumawe;4;;;;1131;40;;;;;;;;;;2020;101;Flood
75; Kota Subulussalam;2;;;;1895;175;;;;;;;;;;2020;101;Flood
1; Simeulue;1;;;;;;1;;;;;;;;;2020;102;Land_Slide
2; Aceh Singkil;1;;;;;;;;;;;;1;;;2020;102;Land_Slide
3; Aceh Selatan;2;;;;16;;1;;;;;;;;;2020;102;Land_Slide
4; Aceh Tenggara;1;;;;132;;37;;;;;;;;;2020;102;Land_Slide
6; Aceh Tengah;2;1;;;2040;214;57;;;;;;;;;2020;102;Land_Slide
7; Aceh Barat;1;1;;;;;;;;;;;;;;2020;102;Land_Slide
9; Pidie;1;;;;51;;;;;;;;;;;2020;102;Land_Slide
10; Bireuen;5;;;;41;4;11;;;;;;2;;;2020;102;Land_Slide
11; Aceh Utara;1;;;;13;;3;;;;;;;;;2020;102;Land_Slide
13; Gayo Lues;2;;;;16;;3;;;;;;;;;2020;102;Land_Slide
74; Kota Lhokseumawe;2;;;;8;;2;;;;;;;;;2020;102;Land_Slide
1; Simeulue;3;;;;1436;;6;;;;;;;;;2020;103;Flood and Land Slide
4; Aceh Tenggara;1;;;;307;;;;;;;;;;;2020;103;Flood and Land Slide
11; Aceh Utara;1;5;;;26760;42625;;;;;;;2;;;2020;103;Flood and Land Slide
75; Kota Subulussalam;1;;;;3437;;;;;;;;;;;2020;103;Flood and Land Slide
2; Aceh Singkil;1;;;;77;;2;;;;;;;;;2020;104;Abration
3; Aceh Selatan;1;;;;82;;21;;;;;;;;;2020;104;Abration
5; Aceh Timur;1;;;;10;;;;;;;;;;;2020;104;Abration
7; Aceh Barat;5;;;;;58;7;;;;;;;;;2020;104;Abration
11; Aceh Utara;1;;;;1;;1;;;;;;;;;2020;104;Abration
12; Aceh Barat Daya;1;;;;;165;42;;;;;;;;;2020;104;Abration
15; Nagan Raya;1;;;;65;;;;;;;;;;;2020;104;Abration
16; Aceh Jaya;1;;;;;;1;;;;;;;;;2020;104;Abration
1; Simeulue;3;;;;15;;4;1;;;;;;;;2020;105;Tornado
2; Aceh Singkil;3;;;;;;4;1;;;;;;;;2020;105;Tornado
3; Aceh Selatan;4;1;6;1;125;10;32;;;;;;;;;2020;105;Tornado
4; Aceh Tenggara;5;;;;241;3;76;3;;;;;;;;2020;105;Tornado
5; Aceh Timur;8;;;;680;121;136;;;;;;;;;2020;105;Tornado
6; Aceh Tengah;4;;;4;188;20;74;;;;;;;;;2020;105;Tornado
7; Aceh Barat;5;;;;34;5;9;;;;;;;;;2020;105;Tornado
8; Aceh Besar;13;1;;;118;;28;;;;;1;1;;1;2020;105;Tornado
10; Bireuen;7;;;;18;1;7;;;;;;;;;2020;105;Tornado
11; Aceh Utara;7;;;2;99;;32;1;;1;;;;;19;2020;105;Tornado
12; Aceh Barat Daya;2;;;;67;;16;1;;;;;;;;2020;105;Tornado
15; Nagan Raya;4;;;;8;;8;;;;;;;;;2020;105;Tornado
16; Aceh Jaya;2;;;;;;2;;;;;;;;;2020;105;Tornado
17; Bener Meriah;9;;;;51;;72;;;1;;;;;;2020;105;Tornado
18; Pidie Jaya;1;;;;;;1;;;;;;;;;2020;105;Tornado
71; Kota Banda Aceh;1;;;;;;6;;;;;;;;;2020;105;Tornado
72; Kota Sabang;13;;;1;43;;20;;;;;;;;;2020;105;Tornado
73; Kota Langsa;1;;;;4;;1;;;;;;;;;2020;105;Tornado
74; Kota Lhokseumawe;2;;;;50;10;12;;;;;;;;;2020;105;Tornado
75; Kota Subulussalam;4;;;;22;;13;;;;;;;;;2020;105;Tornado
16; Aceh Jaya;1;;;;;;;;;;;;;;;2020;106;Drought
1; Simeulue;1;;;;;;;;;;;;;;;2020;107;Forest Fire
